input,output
intent: take object: bottles location: shelf intent: bring recipient: me,navigate to shelf -> grasp -> deliver bottles to me
intent: locate object: toy location: study intent: get intent: place location: on the garden table,navigate to study -> detect_object toy at study -> grasp -> navigate to on the garden table -> place at on the garden table
intent: tell location: entrance filter: wearing person: white jackets,navigate to entrance -> detect_person with wearing at entrance -> describe_property -> navigate to operator -> tell
intent: meet location: study person: Ingrid intent: find location: closet,navigate to study -> meet_person Ingrid at study -> navigate to closet
intent: tell location: kitchen filter: wearing person: white t shirts,navigate to kitchen -> detect_person with wearing at kitchen -> describe_property -> navigate to operator -> tell
intent: tell location: on the desk attribute: smallest,navigate to on the desk -> detect_object smallest at on the desk -> describe_property -> navigate to operator -> tell
intent: meet location: study person: Leo intent: tell content: day,navigate to study -> meet_person Leo at study -> tell day
intent: tell location: garden table content: pose person: person,navigate to garden table -> tell pose
intent: escort location: terrace filter: standing person: person,navigate to terrace -> guide_person person to terrace
intent: tell location: on the side table attribute: largest,navigate to on the side table -> detect_object largest at on the side table -> describe_property -> navigate to operator -> tell
intent: tell location: office filter: waving content: day today person: person,navigate to office -> tell day today
intent: fetch object: tray location: shelf intent: deliver recipient: me,navigate to shelf -> detect_object tray at shelf -> deliver tray to me
intent: tell object: remote location: on the shelf,navigate to on the shelf -> count remote at on the shelf -> navigate to operator -> tell
intent: go location: drinks bar intent: meet person: Grace intent: say content: yourself,navigate to drinks bar -> meet_person Grace -> greet_person
intent: introduce location: dining area filter: wearing person: red t shirt intent: follow,navigate to dining area -> introduce_person -> guide_person
intent: tell location: counter content: gesture person: person,navigate to counter -> tell gesture
intent: tell location: closet content: name person: person,navigate to closet -> tell name
intent: meet location: bedroom person: Frank intent: take location: balcony,navigate to bedroom -> meet_person Frank at bedroom -> navigate to balcony -> grasp
intent: follow location: garage filter: right arm person: person,navigate to garage -> guide_person person to garage
intent: guide location: bedroom person: Noah,navigate to bedroom -> guide_person Noah to bedroom
intent: follow location: terrace person: Rosa,navigate to terrace -> guide_person Rosa to terrace
intent: tell location: laundry room content: pose person: person,navigate to laundry room -> tell pose
intent: locate object: mug location: laundry room intent: grasp intent: place location: on the counter,navigate to laundry room -> detect_object mug at laundry room -> grasp -> navigate to on the counter -> place at on the counter
intent: take location: bathroom person: Maria,navigate to bathroom -> grasp
intent: escort location: storage room filter: wearing person: white coat,navigate to storage room -> guide_person white coat to storage room
intent: tell object: cups location: on the shelf attribute: biggest,navigate to on the shelf -> detect_object biggest cups at on the shelf -> describe_property -> navigate to operator -> tell
intent: tell location: on the desk attribute: smallest,navigate to on the desk -> detect_object smallest at on the desk -> describe_property -> navigate to operator -> tell
intent: give object: magazine location: side table recipient: me,navigate to side table -> grasp -> navigate to side table -> deliver magazine to me
intent: tell location: on the desk attribute: biggest,navigate to on the desk -> detect_object biggest at on the desk -> describe_property -> navigate to operator -> tell
intent: tell object: cans location: on the side table attribute: heaviest,navigate to on the side table -> detect_object heaviest cans at on the side table -> describe_property -> navigate to operator -> tell
intent: grasp object: cans location: shelf intent: deliver location: workshop filter: lying recipient: person,navigate to shelf -> grasp -> navigate to workshop -> deliver cans to person
intent: tell location: on the desk attribute: largest,navigate to on the desk -> detect_object largest at on the desk -> describe_property -> navigate to operator -> tell
intent: fetch object: books location: shelf intent: bring location: living room recipient: Alice,navigate to shelf -> detect_object books at shelf -> navigate to living room -> deliver books to Alice
intent: say location: bathroom filter: left arm content: day person: person,navigate to bathroom -> greet_person person with left arm at bathroom
intent: guide location: living room filter: lying person: person,navigate to living room -> guide_person person to living room
intent: tell object: books location: on the shelf attribute: lightest,navigate to on the shelf -> detect_object lightest books at on the shelf -> describe_property -> navigate to operator -> tell
intent: follow location: dining area filter: right arm person: person,navigate to dining area -> guide_person person to dining area
intent: look object: mugs location: entrance intent: get intent: deliver location: entrance filter: sitting recipient: person,navigate to entrance -> detect_object mugs at entrance -> grasp -> navigate to entrance -> deliver mugs to person
intent: look object: pen location: kitchen intent: get intent: give recipient: me,navigate to kitchen -> detect_object pen at kitchen -> grasp -> deliver pen to me
intent: get object: magazines location: side table intent: give location: office recipient: Charlie,navigate to side table -> grasp -> navigate to office -> deliver magazines to Charlie
intent: answer location: bathroom filter: waving content: question person: person,navigate to bathroom -> detect_person with pose waving at bathroom -> navigate to operator -> answer_question
intent: follow location: living room filter: lying person: person,navigate to living room -> guide_person person to living room
intent: tell location: on the counter attribute: biggest,navigate to on the counter -> detect_object biggest at on the counter -> describe_property -> navigate to operator -> tell
intent: say location: balcony person: Jack intent: say content: your teams country,navigate to balcony -> greet_person Jack at balcony -> greet_person
intent: tell location: dining area filter: wearing person: orange jackets,navigate to dining area -> detect_person with wearing at dining area -> describe_property -> navigate to operator -> tell
intent: follow location: terrace filter: sitting person: person,navigate to terrace -> guide_person person to terrace
intent: tell location: living room content: gesture person: person,navigate to living room -> tell gesture
intent: tell location: balcony content: name person: person,navigate to balcony -> tell name
intent: answer location: study filter: pointing content: question person: person,navigate to study -> detect_person with pose pointing at study -> navigate to operator -> answer_question
intent: locate object: can location: study intent: grasp intent: give location: study filter: pointing recipient: person,navigate to study -> detect_object can at study -> grasp -> navigate to study -> deliver can to person
intent: navigate location: patio intent: find object: charger intent: fetch intent: give recipient: me,navigate to patio -> detect_object charger -> deliver charger to me
intent: get object: remotes location: garden table intent: give recipient: me,navigate to garden table -> grasp -> deliver remotes to me
intent: tell object: book location: on the side table,navigate to on the side table -> count book at on the side table -> navigate to operator -> tell
intent: tell location: entrance content: name person: person,navigate to entrance -> tell name
intent: find location: patio filter: pointing person: person intent: lead location: bedroom,navigate to patio -> detect_person with pose pointing at patio -> navigate to bedroom -> guide_person to bedroom
intent: find object: cans location: balcony intent: take intent: bring recipient: me,navigate to balcony -> detect_object cans at balcony -> grasp -> deliver cans to me
intent: get object: magazine location: shelf intent: bring location: office recipient: Jack,navigate to shelf -> grasp -> navigate to office -> deliver magazine to Jack
intent: meet location: drinks bar person: Frank intent: find location: living room,navigate to drinks bar -> meet_person Frank at drinks bar -> navigate to living room
intent: tell object: magazines location: on the side table attribute: heaviest,navigate to on the side table -> detect_object heaviest magazines at on the side table -> describe_property -> navigate to operator -> tell
intent: navigate location: entrance intent: locate filter: sitting person: person intent: follow,navigate to entrance -> detect_person with pose sitting -> guide_person
intent: find location: garden filter: sitting person: person intent: follow,navigate to garden -> detect_person with pose sitting at garden -> guide_person
intent: greet location: kitchen person: Diana intent: follow,navigate to kitchen -> greet_person Diana at kitchen -> guide_person
intent: tell object: can location: on the counter,navigate to on the counter -> count can at on the counter -> navigate to operator -> tell
intent: find location: kitchen filter: standing person: person intent: say content: your teams name,navigate to kitchen -> detect_person with pose standing at kitchen -> greet_person
intent: bring object: glass location: garden table recipient: me,navigate to garden table -> grasp -> navigate to garden table -> deliver glass to me
intent: locate object: magazines location: bathroom intent: get intent: bring recipient: me,navigate to bathroom -> detect_object magazines at bathroom -> grasp -> deliver magazines to me
intent: tell object: magazines location: on the counter attribute: heaviest,navigate to on the counter -> detect_object heaviest magazines at on the counter -> describe_property -> navigate to operator -> tell
intent: tell object: cans location: on the shelf attribute: smallest,navigate to on the shelf -> detect_object smallest cans at on the shelf -> describe_property -> navigate to operator -> tell
intent: tell object: bottle location: on the shelf,navigate to on the shelf -> count bottle at on the shelf -> navigate to operator -> tell
intent: follow location: storage room person: Maria,navigate to storage room -> guide_person Maria to storage room
intent: tell object: book location: on the side table,navigate to on the side table -> count book at on the side table -> navigate to operator -> tell
intent: locate object: glass location: balcony intent: take intent: deliver recipient: me,navigate to balcony -> detect_object glass at balcony -> grasp -> deliver glass to me
intent: get object: tablet location: garden table intent: place location: on the side table,navigate to garden table -> grasp -> navigate to on the side table -> place at on the side table
intent: fetch object: charger location: garden table intent: bring location: terrace recipient: Leo,navigate to garden table -> detect_object charger at garden table -> navigate to terrace -> deliver charger to Leo
intent: go location: bedroom intent: find object: snacks intent: take intent: put location: on the counter,navigate to bedroom -> detect_object snacks -> grasp -> navigate to on the counter -> place at on the counter
intent: tell location: storage room filter: lying,navigate to storage room -> detect_person with pose lying at storage room -> describe_property -> navigate to operator -> tell
intent: navigate location: drinks bar intent: meet person: Maria intent: lead location: bathroom,navigate to drinks bar -> meet_person Maria -> navigate to bathroom -> guide_person to bathroom
intent: tell location: kitchen filter: pointing content: day tomorrow person: person,navigate to kitchen -> tell day tomorrow
intent: find object: pen location: entrance intent: take intent: deliver location: entrance recipient: Ingrid,navigate to entrance -> detect_object pen at entrance -> grasp -> navigate to entrance -> deliver pen to Ingrid
intent: tell location: hallway filter: waving,navigate to hallway -> detect_person with pose waving at hallway -> describe_property -> navigate to operator -> tell
intent: tell location: entrance filter: wearing person: black shirts,navigate to entrance -> detect_person with wearing at entrance -> describe_property -> navigate to operator -> tell
intent: tell location: hallway filter: wearing person: white sweaters,navigate to hallway -> detect_person with wearing at hallway -> describe_property -> navigate to operator -> tell
intent: find object: tablet location: study intent: fetch intent: bring location: study filter: sitting recipient: person,navigate to study -> detect_object tablet at study -> navigate to study -> deliver tablet to person
intent: give object: book location: shelf recipient: me,navigate to shelf -> grasp -> navigate to shelf -> deliver book to me
intent: tell object: remote location: on the garden table,navigate to on the garden table -> count remote at on the garden table -> navigate to operator -> tell
intent: tell location: laundry room content: pose person: person,navigate to laundry room -> tell pose
intent: tell object: mugs location: on the counter attribute: lightest,navigate to on the counter -> detect_object lightest mugs at on the counter -> describe_property -> navigate to operator -> tell
intent: look object: bottles location: storage room intent: fetch intent: deliver location: storage room filter: pointing recipient: person,navigate to storage room -> detect_object bottles at storage room -> navigate to storage room -> deliver bottles to person
intent: follow location: workshop person: Charlie,navigate to workshop -> guide_person Charlie to workshop
intent: follow location: study filter: sitting person: person,navigate to study -> guide_person person to study
intent: tell object: toy location: on the desk,navigate to on the desk -> count toy at on the desk -> navigate to operator -> tell
intent: introduce location: terrace filter: wearing person: yellow t shirt intent: follow,navigate to terrace -> introduce_person -> guide_person
intent: tell location: terrace content: name person: person,navigate to terrace -> tell name
intent: meet location: bedroom person: Bob intent: locate location: garden,navigate to bedroom -> meet_person Bob at bedroom -> navigate to garden
intent: say location: laundry room filter: pointing content: yourself person: person,navigate to laundry room -> greet_person person with pointing at laundry room
intent: tell location: living room filter: wearing person: yellow shirts,navigate to living room -> detect_person with wearing at living room -> describe_property -> navigate to operator -> tell
intent: tell object: mugs location: on the shelf attribute: lightest,navigate to on the shelf -> detect_object lightest mugs at on the shelf -> describe_property -> navigate to operator -> tell
intent: tell location: bedroom content: name person: person,navigate to bedroom -> tell name
intent: tell location: hallway filter: wearing person: yellow shirts,navigate to hallway -> detect_person with wearing at hallway -> describe_property -> navigate to operator -> tell
intent: tell object: magazine location: on the side table,navigate to on the side table -> count magazine at on the side table -> navigate to operator -> tell
intent: locate object: toys location: bathroom intent: grasp intent: bring recipient: me,navigate to bathroom -> detect_object toys at bathroom -> grasp -> deliver toys to me
intent: tell location: drinks bar content: pose person: person,navigate to drinks bar -> tell pose
intent: bring object: tray location: side table recipient: me,navigate to side table -> grasp -> navigate to side table -> deliver tray to me
intent: tell object: glass location: on the counter,navigate to on the counter -> count glass at on the counter -> navigate to operator -> tell
intent: meet location: drinks bar person: Jack intent: escort location: hallway,navigate to drinks bar -> meet_person Jack at drinks bar -> navigate to hallway -> guide_person to hallway
intent: bring object: snack location: counter recipient: me,navigate to counter -> grasp -> navigate to counter -> deliver snack to me
intent: answer location: dining area filter: left arm content: quiz person: person,navigate to dining area -> detect_person with left arm at dining area -> navigate to operator -> answer_question
intent: answer location: patio filter: left arm content: question person: person,navigate to patio -> detect_person with left arm at patio -> navigate to operator -> answer_question
intent: tell location: living room content: pose person: person,navigate to living room -> tell pose
intent: navigate location: workshop intent: look object: plates intent: get intent: give location: patio recipient: Tom,navigate to workshop -> detect_object plates -> grasp -> navigate to patio -> deliver plates to Tom
intent: tell object: cups location: on the side table attribute: lightest,navigate to on the side table -> detect_object lightest cups at on the side table -> describe_property -> navigate to operator -> tell
intent: get object: bowl location: garden table intent: deliver recipient: me,navigate to garden table -> grasp -> deliver bowl to me
intent: tell location: kitchen filter: wearing person: red sweaters,navigate to kitchen -> detect_person with wearing at kitchen -> describe_property -> navigate to operator -> tell
intent: get object: magazines location: shelf intent: deliver recipient: me,navigate to shelf -> grasp -> deliver magazines to me
intent: take location: entrance person: Karen,navigate to entrance -> grasp
intent: tell location: hallway filter: waving,navigate to hallway -> detect_person with pose waving at hallway -> describe_property -> navigate to operator -> tell
intent: tell location: kitchen filter: pointing,navigate to kitchen -> detect_person with pose pointing at kitchen -> describe_property -> navigate to operator -> tell
intent: tell object: magazines location: on the side table attribute: biggest,navigate to on the side table -> detect_object biggest magazines at on the side table -> describe_property -> navigate to operator -> tell
intent: meet location: dining area person: Ingrid intent: escort location: bedroom,navigate to dining area -> meet_person Ingrid at dining area -> navigate to bedroom -> guide_person to bedroom
intent: tell object: remotes location: on the counter attribute: heaviest,navigate to on the counter -> detect_object heaviest remotes at on the counter -> describe_property -> navigate to operator -> tell
intent: tell object: remote location: on the shelf,navigate to on the shelf -> count remote at on the shelf -> navigate to operator -> tell
intent: tell object: can location: on the shelf,navigate to on the shelf -> count can at on the shelf -> navigate to operator -> tell
intent: guide location: patio filter: pointing person: person,navigate to patio -> guide_person person to patio
intent: tell object: remotes location: on the side table attribute: smallest,navigate to on the side table -> detect_object smallest remotes at on the side table -> describe_property -> navigate to operator -> tell
intent: tell location: on the counter attribute: thinnest,navigate to on the counter -> detect_object thinnest at on the counter -> describe_property -> navigate to operator -> tell
intent: tell location: on the side table attribute: heaviest,navigate to on the side table -> detect_object heaviest at on the side table -> describe_property -> navigate to operator -> tell
intent: answer location: patio filter: right arm content: quiz person: person,navigate to patio -> detect_person with right arm at patio -> navigate to operator -> answer_question
intent: tell location: on the counter attribute: thinnest,navigate to on the counter -> detect_object thinnest at on the counter -> describe_property -> navigate to operator -> tell
intent: say location: entrance filter: wearing person: white coat intent: answer content: quiz,navigate to entrance -> greet_person white coat with wearing at entrance -> navigate to operator -> answer_question
intent: introduce location: terrace filter: wearing person: white coat intent: follow,navigate to terrace -> introduce_person -> guide_person
intent: look object: charger location: kitchen intent: grasp intent: give recipient: me,navigate to kitchen -> detect_object charger at kitchen -> grasp -> deliver charger to me
intent: tell location: on the desk attribute: lightest,navigate to on the desk -> detect_object lightest at on the desk -> describe_property -> navigate to operator -> tell
intent: look location: office filter: lying person: person intent: answer content: quiz,navigate to office -> detect_person with pose lying at office -> navigate to operator -> answer_question
intent: tell location: on the counter attribute: heaviest,navigate to on the counter -> detect_object heaviest at on the counter -> describe_property -> navigate to operator -> tell
intent: navigate location: office intent: locate object: glasses intent: grasp intent: give location: study recipient: Rosa,navigate to office -> detect_object glasses -> grasp -> navigate to study -> deliver glasses to Rosa
intent: tell object: bottle location: on the shelf,navigate to on the shelf -> count bottle at on the shelf -> navigate to operator -> tell
intent: tell location: side table content: gesture person: person,navigate to side table -> tell gesture
intent: meet location: hallway person: Noah intent: follow location: terrace,navigate to hallway -> meet_person Noah at hallway -> navigate to terrace -> guide_person to terrace
intent: answer location: balcony filter: pointing content: quiz person: person,navigate to balcony -> detect_person with pose pointing at balcony -> navigate to operator -> answer_question
intent: tell location: on the shelf attribute: largest,navigate to on the shelf -> detect_object largest at on the shelf -> describe_property -> navigate to operator -> tell
intent: tell location: kitchen filter: wearing person: black shirts,navigate to kitchen -> detect_person with wearing at kitchen -> describe_property -> navigate to operator -> tell
intent: tell location: study filter: wearing person: white t shirts,navigate to study -> detect_person with wearing at study -> describe_property -> navigate to operator -> tell
intent: tell object: cup location: on the side table,navigate to on the side table -> count cup at on the side table -> navigate to operator -> tell
intent: meet location: study person: Rosa intent: look location: office,navigate to study -> meet_person Rosa at study -> navigate to office
intent: say location: laundry room filter: pointing person: person,navigate to laundry room -> greet_person person with pointing at laundry room
intent: tell object: magazine location: on the shelf,navigate to on the shelf -> count magazine at on the shelf -> navigate to operator -> tell
intent: tell location: on the side table attribute: smallest,navigate to on the side table -> detect_object smallest at on the side table -> describe_property -> navigate to operator -> tell
intent: tell location: on the shelf attribute: heaviest,navigate to on the shelf -> detect_object heaviest at on the shelf -> describe_property -> navigate to operator -> tell
intent: follow location: drinks bar person: Alice,navigate to drinks bar -> guide_person Alice to drinks bar
intent: escort location: closet filter: wearing person: gray coat,navigate to closet -> guide_person gray coat to closet
intent: get object: toys location: shelf intent: bring location: closet filter: waving recipient: person,navigate to shelf -> grasp -> navigate to closet -> deliver toys to person
intent: guide location: laundry room filter: wearing person: black sweater,navigate to laundry room -> guide_person black sweater to laundry room
intent: tell location: hallway filter: waving content: day today person: person,navigate to hallway -> tell day today
intent: follow location: workshop filter: standing person: person,navigate to workshop -> guide_person person to workshop
intent: tell location: bedroom filter: waving content: time person: person,navigate to bedroom -> tell time
intent: tell location: closet filter: wearing person: yellow blouses,navigate to closet -> detect_person with wearing at closet -> describe_property -> navigate to operator -> tell
intent: say location: hallway person: Grace intent: escort location: patio,navigate to hallway -> greet_person Grace at hallway -> navigate to patio -> guide_person to patio
intent: find location: hallway filter: sitting person: person intent: follow location: patio,navigate to hallway -> detect_person with pose sitting at hallway -> navigate to patio -> guide_person to patio
intent: tell location: on the desk attribute: biggest,navigate to on the desk -> detect_object biggest at on the desk -> describe_property -> navigate to operator -> tell
intent: meet location: workshop person: Alice intent: look location: terrace,navigate to workshop -> meet_person Alice at workshop -> navigate to terrace
intent: guide location: drinks bar filter: wearing person: blue shirt,navigate to drinks bar -> guide_person blue shirt to drinks bar
intent: navigate location: laundry room intent: locate location: left filter: pointing person: person intent: follow location: drinks bar,navigate to laundry room -> navigate to left -> detect_person with pose pointing at left -> navigate to drinks bar -> guide_person to drinks bar
intent: tell location: on the shelf attribute: largest,navigate to on the shelf -> detect_object largest at on the shelf -> describe_property -> navigate to operator -> tell
intent: look location: garage filter: pointing person: person intent: follow,navigate to garage -> detect_person with pose pointing at garage -> guide_person
intent: go location: patio intent: look location: left filter: pointing person: person intent: follow,navigate to patio -> navigate to left -> detect_person with pose pointing at left -> guide_person
intent: tell location: workshop filter: wearing person: red t shirts,navigate to workshop -> detect_person with wearing at workshop -> describe_property -> navigate to operator -> tell
intent: meet location: terrace person: Eva intent: follow,navigate to terrace -> meet_person Eva at terrace -> guide_person
intent: tell location: storage room content: pose person: person,navigate to storage room -> tell pose
intent: navigate location: balcony intent: look object: snack intent: grasp intent: deliver recipient: me,navigate to balcony -> detect_object snack -> grasp -> deliver snack to me
intent: tell object: mug location: on the side table,navigate to on the side table -> count mug at on the side table -> navigate to operator -> tell
intent: go location: terrace intent: look object: charger intent: take intent: give location: garage recipient: Bob,navigate to terrace -> detect_object charger -> grasp -> navigate to garage -> deliver charger to Bob
intent: meet location: garden person: Charlie intent: tell content: day tomorrow,navigate to garden -> meet_person Charlie at garden -> tell day tomorrow
intent: tell location: on the side table attribute: lightest,navigate to on the side table -> detect_object lightest at on the side table -> describe_property -> navigate to operator -> tell
intent: tell object: book location: on the desk,navigate to on the desk -> count book at on the desk -> navigate to operator -> tell
intent: tell location: bedroom filter: wearing person: red coats,navigate to bedroom -> detect_person with wearing at bedroom -> describe_property -> navigate to operator -> tell
intent: greet location: workshop filter: wearing person: black coat intent: follow,navigate to workshop -> greet_person black coat with wearing at workshop -> guide_person
intent: locate object: cans location: office intent: take intent: place location: on the desk,navigate to office -> detect_object cans at office -> grasp -> navigate to on the desk -> place at on the desk
intent: tell object: mugs location: on the garden table attribute: biggest,navigate to on the garden table -> detect_object biggest mugs at on the garden table -> describe_property -> navigate to operator -> tell
intent: guide location: living room filter: right arm person: person,navigate to living room -> guide_person person to living room
intent: tell object: can location: on the side table,navigate to on the side table -> count can at on the side table -> navigate to operator -> tell
intent: tell location: on the garden table attribute: biggest,navigate to on the garden table -> detect_object biggest at on the garden table -> describe_property -> navigate to operator -> tell
intent: look location: hallway filter: pointing person: person intent: follow,navigate to hallway -> detect_person with pose pointing at hallway -> guide_person
intent: navigate location: workshop intent: find object: bottles intent: grasp intent: put location: on the desk,navigate to workshop -> detect_object bottles -> grasp -> navigate to on the desk -> place at on the desk
intent: tell object: mugs location: on the shelf attribute: thinnest,navigate to on the shelf -> detect_object thinnest mugs at on the shelf -> describe_property -> navigate to operator -> tell
intent: go location: entrance intent: find object: charger intent: get intent: give location: balcony recipient: Alice,navigate to entrance -> detect_object charger -> grasp -> navigate to balcony -> deliver charger to Alice
intent: take object: pen location: garden table intent: deliver location: garage filter: standing recipient: person,navigate to garden table -> grasp -> navigate to garage -> deliver pen to person
intent: guide location: drinks bar person: Hector,navigate to drinks bar -> guide_person Hector to drinks bar
intent: look location: bathroom filter: standing person: person intent: lead location: office,navigate to bathroom -> detect_person with pose standing at bathroom -> navigate to office -> guide_person to office
intent: find location: dining area filter: standing person: person intent: tell content: yourself,navigate to dining area -> detect_person with pose standing at dining area -> tell yourself
intent: tell location: hallway filter: wearing person: red coats,navigate to hallway -> detect_person with wearing at hallway -> describe_property -> navigate to operator -> tell
intent: meet location: patio person: Tom intent: answer content: question,navigate to patio -> meet_person Tom at patio -> navigate to operator -> answer_question
intent: tell object: bottles location: on the desk attribute: thinnest,navigate to on the desk -> detect_object thinnest bottles at on the desk -> describe_property -> navigate to operator -> tell
intent: tell location: on the garden table attribute: lightest,navigate to on the garden table -> detect_object lightest at on the garden table -> describe_property -> navigate to operator -> tell
intent: go location: terrace intent: locate object: snacks intent: take intent: deliver location: kitchen filter: right arm recipient: person,navigate to terrace -> detect_object snacks -> grasp -> navigate to kitchen -> deliver snacks to person
intent: get object: magazines location: garden table intent: deliver location: workshop filter: sitting recipient: person,navigate to garden table -> grasp -> navigate to workshop -> deliver magazines to person
intent: navigate location: garden table intent: locate object: mugs intent: fetch intent: put location: on the desk,navigate to garden table -> detect_object mugs -> navigate to on the desk -> place at on the desk
intent: go location: living room intent: meet person: Jack intent: escort location: garden,navigate to living room -> meet_person Jack -> navigate to garden -> guide_person to garden
intent: navigate location: dining area intent: look object: magazines intent: get intent: bring location: closet recipient: Eva,navigate to dining area -> detect_object magazines -> grasp -> navigate to closet -> deliver magazines to Eva
intent: navigate location: storage room intent: locate object: snacks intent: grasp intent: put location: on the side table,navigate to storage room -> detect_object snacks -> grasp -> navigate to on the side table -> place at on the side table
intent: find object: key location: garage intent: fetch intent: deliver recipient: me,navigate to garage -> detect_object key at garage -> deliver key to me
intent: tell location: on the shelf attribute: biggest,navigate to on the shelf -> detect_object biggest at on the shelf -> describe_property -> navigate to operator -> tell
intent: look object: magazines location: balcony intent: get intent: deliver location: balcony filter: sitting recipient: person,navigate to balcony -> detect_object magazines at balcony -> grasp -> navigate to balcony -> deliver magazines to person
intent: answer location: dining area filter: waving content: question person: person,navigate to dining area -> detect_person with pose waving at dining area -> navigate to operator -> answer_question
intent: say location: study person: Frank intent: answer content: question,navigate to study -> greet_person Frank at study -> navigate to operator -> answer_question
intent: tell location: on the garden table attribute: biggest,navigate to on the garden table -> detect_object biggest at on the garden table -> describe_property -> navigate to operator -> tell
intent: take location: drinks bar person: Bob,navigate to drinks bar -> grasp
intent: tell object: bottle location: on the shelf,navigate to on the shelf -> count bottle at on the shelf -> navigate to operator -> tell
intent: follow location: workshop person: Jack,navigate to workshop -> guide_person Jack to workshop
intent: tell object: bottle location: on the side table,navigate to on the side table -> count bottle at on the side table -> navigate to operator -> tell
intent: escort location: dining area filter: lying person: person,navigate to dining area -> guide_person person to dining area
intent: tell location: patio filter: lying,navigate to patio -> detect_person with pose lying at patio -> describe_property -> navigate to operator -> tell
